City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,Geraardsbergen,50.7804,3.907,43,95,100,3.56,BE,1/30/2021
122,Saskylakh,71.9167,114.0833,-31.31,83,78,5.37,RU,1/30/2021
123,Rumoi,43.9344,141.6428,33.04,94,100,6.71,JP,1/30/2021
124,Clyde River,70.4692,-68.5914,-14.8,76,90,10.36,CA,1/30/2021
125,Ingham,42.6,-84.3833,17.6,67,90,13.8,US,1/30/2021
126,Semnan,35.5729,53.3971,49.46,55,100,0.85,IR,1/30/2021
127,Hailar,49.2,119.7,-9.38,86,0,2.48,CN,1/30/2021
128,Elliot,-31.3333,27.85,61.48,94,79,1.57,ZA,1/30/2021
129,Warrington,53.3925,-2.5802,44.01,93,90,3.44,GB,1/30/2021
130,Vanino,49.0869,140.2543,-1.44,81,76,3.47,RU,1/30/2021
131,Nizhnedevitsk,51.5419,38.3657,10.4,85,75,11.18,RU,1/30/2021
132,Tecalitlán,19.4667,-103.3,69.8,83,40,4.45,MX,1/30/2021
133,Esperance,-33.8667,121.9,62.6,88,90,10.36,AU,1/30/2021
134,Chaupimarca,-10.4333,-76.5333,39.18,100,94,4,PE,1/30/2021
135,La Ronge,55.1001,-105.2842,-20.2,69,73,11.5,CA,1/30/2021
136,Hohhot,40.8106,111.6522,12.2,73,0,4.47,CN,1/30/2021
137,Bac Lieu,9.285,105.7244,78.3,73,97,17.69,VN,1/30/2021
138,Lebu,-37.6167,-73.65,57.87,92,11,3.69,CL,1/30/2021
139,Leningradskiy,69.3833,178.4167,-9.06,87,100,8.14,RU,1/30/2021
140,Port Alfred,-33.5906,26.891,69.01,93,100,14.92,ZA,1/30/2021
141,Don Luan,11.5333,106.9167,74.86,70,95,3.89,VN,1/30/2021
142,Berlevåg,70.8578,29.0864,26.82,92,100,21.61,NO,1/30/2021
143,Koulikoro,14,-7.75,75.31,17,100,6.91,ML,1/30/2021
144,Norman Wells,65.282,-126.8329,-29.2,68,20,4.61,CA,1/30/2021
145,Muisne,0.6,-80.0333,77.72,89,86,6.04,EC,1/30/2021
146,Zhigansk,66.7697,123.3711,-42.66,75,73,4.16,RU,1/30/2021
147,Nanortalik,60.1432,-45.2371,20.21,73,0,3.69,GL,1/30/2021
148,Constitución,-35.3333,-72.4167,56.95,90,0,0.45,CL,1/30/2021
149,Camacha,33.0833,-16.3333,57.2,67,40,17.27,PT,1/30/2021
150,Ancud,-41.8697,-73.8203,69.8,56,0,9.22,CL,1/30/2021
151,Alta Floresta,-9.8756,-56.0861,75.27,91,100,2.17,BR,1/30/2021
152,Port Hardy,50.6996,-127.4199,44.6,76,75,9.22,CA,1/30/2021
153,Anuradhapura,8.3565,80.4173,68.7,97,21,4.54,LK,1/30/2021
154,Smidovich,48.6,133.8167,-5.08,87,81,3.51,RU,1/30/2021
155,Boueni,-12.9025,45.0761,78.8,89,0,2.3,YT,1/30/2021
156,Ilulissat,69.2167,-51.1,10.4,31,98,13.8,GL,1/30/2021
157,Panama City,8.9936,-79.5197,80.6,83,75,10.36,PA,1/30/2021
158,São João da Barra,-21.6403,-41.0511,76.12,93,100,7.92,BR,1/30/2021
159,Provideniya,64.3833,-173.3,8.33,92,100,8.93,RU,1/30/2021
160,Alofi,-19.0595,-169.9187,78.8,89,100,13.8,NU,1/30/2021
161,Lata,40.1629,-8.3327,51.01,98,100,5.01,PT,1/30/2021
162,Khorramshahr,30.4397,48.1664,66.2,77,75,4.61,IR,1/30/2021
163,Bull Savanna,17.8868,-77.5902,74.12,90,17,11.41,JM,1/30/2021
164,Bengkulu,-3.8004,102.2655,78.51,78,100,4.79,ID,1/30/2021
165,Yerbogachën,61.2767,108.0108,-8.07,91,96,3.06,RU,1/30/2021
166,Brăeşti,47.15,27.1,32,100,90,5.75,RO,1/30/2021
167,Cabo San Lucas,22.8909,-109.9124,77,53,20,11.5,MX,1/30/2021
168,Te Anau,-45.4167,167.7167,75.04,40,78,1.83,NZ,1/30/2021
169,El Dorado,38.7666,-120.5177,53.6,54,1,4.61,US,1/30/2021
170,Mahébourg,-20.4081,57.7,77,88,75,6.91,MU,1/30/2021
171,Beatrice,40.2681,-96.747,23,80,90,5.75,US,1/30/2021
172,Pismo Beach,35.1428,-120.6413,62.01,48,1,14.97,US,1/30/2021
